Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
300708.SZ,36.48,2020/09/15,16:29 CST,-5.1000023,44.9,45.7,36.48,60201993,,,,,,,
300432.SZ,11.99,2020/09/15,16:29 CST,-0.5600004,12.45,12.65,11.74,60552158,,,,,,,
002531.SZ,7.19,2020/09/15,16:29 CST,-0.11000013,7.36,7.39,7.12,61637477,,,,,,,
601456.SS,16.49,2020/09/15,15:00 CST,-0.29000092,16.8,16.95,16.28,61706913,,,,,,,
300664.SZ,10.24,2020/09/15,16:29 CST,-0.1800003,10.42,10.58,10.05,61808050,,,,,,,
300172.SZ,8.19,2020/09/15,16:29 CST,-0.24000072,8.21,8.93,7.97,61809912,,,,,,,
300079.SZ,5.71,2020/09/15,16:29 CST,-0.17000008,5.82,5.89,5.61,61859664,,,,,,,
300274.SZ,24.6,2020/09/15,16:29 CST,0.07999992,24.51,25.6,24.0,61681934,,,,,,,
300017.SZ,8.99,2020/09/15,16:29 CST,-0.03999996,9.0,9.17,8.88,62268300,,,,,,,
002241.SZ,41.4,2020/09/15,16:29 CST,-1.2999992,42.3,42.48,40.59,61514769,,,,,,,
601328.SS,4.62,2020/09/15,15:00 CST,0.0,4.62,4.64,4.61,62412784,,,,,,,
300373.SZ,41.78,2020/09/15,16:29 CST,-4.260002,47.94,47.94,41.48,62063648,,,,,,,
300131.SZ,7.19,2020/09/15,16:29 CST,-0.25999975,7.46,7.55,7.13,63052536,,,,,,,
000616.SZ,3.23,2020/09/15,16:29 CST,0.03999996,3.19,3.3,3.14,61886544,,,,,,,
300002.SZ,6.29,2020/09/15,16:29 CST,-0.059999943,6.3,6.52,6.21,63375484,,,,,,,
600489.SS,11.18,2020/09/15,15:00 CST,0.46000004,10.8,11.26,10.75,64429079,,,,,,,
601390.SS,5.6,2020/09/15,15:00 CST,0.13000011,5.48,5.62,5.42,63587643,,,,,,,
600226.SS,1.72,2020/09/15,15:00 CST,0.08000004,1.72,1.72,1.68,63702540,,,,,,,
300267.SZ,5.13,2020/09/15,16:29 CST,-0.21999979,5.26,5.36,5.05,63575029,,,,,,,
300020.SZ,12.92,2020/09/15,16:29 CST,0.10999966,12.9,13.5,12.6,64042270,,,,,,,
600048.SS,16.66,2020/09/15,15:00 CST,0.11000061,16.5,16.78,16.33,64890107,,,,,,,
000970.SZ,10.16,2020/09/15,16:29 CST,-0.11000061,10.21,10.45,10.06,63629257,,,,,,,
002665.SZ,2.73,2020/09/15,16:29 CST,0.049999952,2.68,2.77,2.64,64228728,,,,,,,
002385.SZ,9.55,2020/09/15,16:29 CST,0.029999733,9.44,9.55,9.29,63614322,,,,,,,
002408.SZ,8.82,2020/09/15,16:29 CST,-0.9800005,9.47,9.88,8.82,64976388,,,,,,,
601916.SS,4.23,2020/09/15,15:00 CST,0.03999996,4.18,4.24,4.18,65174536,,,,,,,
000671.SZ,7.56,2020/09/15,16:29 CST,-0.13999987,7.7,7.8,7.47,64187365,,,,,,,
300239.SZ,7.34,2020/09/15,16:29 CST,-0.37999964,7.65,7.99,7.15,64649206,,,,,,,
601866.SS,2.26,2020/09/15,15:00 CST,0.00999999,2.24,2.27,2.2,68797639,,,,,,,
603025.SS,11.91,2020/09/15,15:00 CST,-1.0900002,14.3,14.3,11.7,66705120,,,,,,,
300025.SZ,5.57,2020/09/15,16:29 CST,-0.23000002,5.43,5.89,5.43,66391864,,,,,,,
000001.SZ,15.35,2020/09/15,16:29 CST,0.05000019,15.2,15.48,15.15,65713267,,,,,,,
